Value,Player,pV,3V,rV,aV,sV,bV,toV,ft%V,fg%V
11.525059744852356,Karl-Anthony Towns,1.3351719368498252,0.92243155887273,2.1893674405252064,1.58281813231229,1.0409394891961212,4.66223466581151,-1.750085073579966,2.084880818604103,-0.5426992237394633
10.676469732272539,Myles Turner,0.8344824605311407,0.6918236691545475,1.0470887759033596,0.2374227198468435,1.6915266699436973,6.410572665490825,-0.6562819025924873,0.3566554200600123,0.06317925393459962
10.342542253327313,Joel Embiid,1.776882953552023,0.7906556218909115,2.2301631071188437,1.040137629805219,1.3383507718235845,2.886145269311887,-1.6667476891237771,1.107379376403297,0.839575212545326
10.195024931973387,James Harden,2.0660028917570976,2.3368266158109154,0.8757469762100826,3.482199891087038,1.2491273870353454,0.9324469331623019,-2.566791441250617,1.8635737121865392,-0.04410803402531628
10.168112365456619,Nikola Jokic,1.6965718596061687,0.7028049972363657,2.2301631071188437,3.753540142340573,1.487056413137316,0.8880446982498112,-3.000145840422799,0.5992283663378989,1.8108486218524393
9.886450852731434,Kyrie Irving,1.9073884812140358,2.2841162410181886,1.006293109309722,1.9446051339836705,1.6357620544510478,0.4440223491249056,-1.250060766842833,1.1913604677737732,0.7229637826989223
9.482323156228082,Michael Porter Jr.,1.3703080404511363,1.6911245246000048,1.2850634976995778,0.5539863463093014,1.0409394891961212,2.331117332905755,-0.29168084559666096,0.3566554200600123,1.144809350602832
9.414394735760865,CJ McCollum,1.947544028186963,2.986921238254554,0.7887162208103229,1.7184882579390575,1.9331733370785111,0.4440223491249056,-0.7500364601056998,0.3801550492983935,-0.03458928482614131
9.302524260165669,Kevin Durant,1.979333836207197,1.53738593145455,1.3326584420588212,1.5300575279018802,1.2144294040621415,1.2950651849476418,-2.041765919176627,1.6846876141966152,0.7706722385134499
9.222744444498007,Malcolm Brogdon,1.6601808951619537,1.9217324143181873,0.7853165819275196,2.2159453852372057,2.0818789783922425,0.19425977774214623,-0.9479627481891483,0.48960689041890526,0.8217862694889962
9.107411702610339,Stephen Curry,2.0818141383776876,2.45981749032728,0.9756963593644941,1.9785226653903623,1.0409394891961212,0.38851955548429246,-1.8230052849791314,2.2407947089479205,-0.23568741949868763
8.95819946253511,Christian Wood,1.6584240899818883,0.737945247098184,1.9037977743697447,0.5065018023399328,1.0409394891961212,3.1081564438743396,-0.9333787059093152,-0.35295893409037493,1.2887722556745886
8.860700579325362,Bradley Beal,2.4068230966898163,1.383647338309095,0.999493831544116,1.5036772256966753,1.5614092337941818,0.9712988887107312,-1.968845707777462,1.6267073610766851,0.37648931128152674
8.723214286626888,Jayson Tatum,1.8505014563357225,2.186504435846471,1.396118367871146,1.2662545058498318,1.0409394891961212,1.381402863944151,-1.296359313762938,0.7621948625084543,0.1356576188379282
8.666354409796885,Paul George,1.730453102364576,2.45981749032728,1.237468553340334,1.5036772256966753,1.6915266699436973,0.7770391109685849,-2.4792871875716185,1.3521136574532209,0.39354578727413314
8.59276297716612,Kawhi Leonard,1.6162607656603145,0.7906556218909115,1.0606873314345722,1.9446051339836705,1.9331733370785111,1.7760893964996225,-1.1667233823866439,0.789596594781527,-0.1515818217763676
8.301901950500636,Fred VanVleet,1.4455996910253746,2.1962656163636427,1.006293109309722,1.8089350083569027,1.6357620544510478,1.1100558728122643,-0.7500364601056998,0.10916188773143207,-0.26013482944405086
8.150721797288455,Alec Burks,1.452292282187529,2.0498479086060666,0.698059183935573,1.1607332970290125,1.0409394891961212,1.036052147958113,-1.3611772794510848,1.4565067731549672,0.6174679946721559
7.972707104041052,Jerami Grant,1.686532972862937,1.6142552280272775,1.1422786646218468,0.5144158930014942,0.9108220530466062,1.9425977774214624,-0.7292021139916526,1.136150387299609,-0.24514375824852824
7.888519220796534,Jaylen Brown,1.8426934333132088,1.4348935360242465,1.0365121216013053,1.0552120882081932,1.7348991486602021,1.2087275059511322,-1.5556311765155253,-0.22418902047875977,1.3554015840325313
7.8858746070934,Tobias Harris,1.3527399886504807,1.53738593145455,1.499240747316174,0.949690879387374,1.1710569253456364,1.7483379996793162,-1.1667233823866439,0.10853023537554295,0.6856152822709694
7.835227968969052,Khris Middleton,1.4845003771553975,1.7679938211727322,1.1660761368014687,1.938952212082555,1.0409394891961212,0.19425977774214623,-1.5313244393824703,0.7927092923798529,0.9811213018212479
7.834535482062497,Nikola Vucevic,1.4757163512550697,1.4605166348818224,1.998987663088232,1.1079726926186029,1.0409394891961212,0.9712988887107312,-0.6562819025924873,-0.21059687314168687,0.6459825380460928
7.755436508318423,Anthony Davis,1.566066331944156,0.9663568712000028,1.7134179969327705,1.1305843802230642,1.6357620544510478,1.7760893964996225,-1.5000729202113996,-0.2658390968782201,0.733071494157379
7.546068991210586,Eric Gordon,1.3703080404511363,1.84486311774546,0.5235443879516798,0.5539863463093014,1.3011743614951516,1.5540782219371698,-0.875042536789983,1.5162769589848022,-0.24311990687413237
7.494600070468088,Gordon Hayward,1.5372045325573644,1.22990874516364,1.0946837202626032,1.3849658657732535,1.5614092337941818,0.5827793332264387,-1.1667233823866439,0.819285059899669,0.4510869621775817
7.457287099951191,Mikal Bridges,0.9838109008367133,1.6911245246000048,1.0232913037237379,0.35613407977026523,0.6505871807475758,2.1368575551636084,-0.14584042279833048,0.6981427239730188,0.06317925393459962
7.438931199413602,DeMar DeRozan,1.3452108235930567,0.61495437258182,1.1150815535594218,2.2611687604461284,0.8922338478823896,1.1100558728122643,-0.9167112290180776,0.7340673328997301,0.2828698646568693
